Company_ID,Company_Name,Sector,Location,Founded_Year,Employee_Count,Primary_Products,Certifications,Export_Markets,Annual_Export_Percentage,Website,Email,Phone,Registration_Number,Financial_Performance_Score,Operational_Efficiency_Score,Market_Position_Score,Innovation_Score,Overall_Performance_Score,Growth_Drivers,Key_Challenges,Market_Outlook,Key_Markets,Digital_Maturity_Level,Sustainability_Initiatives,Government_Scheme_Participation,Credit_Rating,Risk_Level
MSME001,Oilmax Systems Pvt Ltd,Manufacturing,"Chennai, Tamil Nadu",1995,199,"Metal Components, Industrial Equipment, Machinery Parts, Tools & Dies","BIS Certification, CE Marking",Yes,15,www.oilmaxsystems.com,info@oilmaxsystems.com,-9250327572,CIN-U39817MH2013PTC194769,76,68,78,41,67.5,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Advanced,Yes,No,A-,Low
MSME002,Minimac Systems Pvt Ltd,Manufacturing,"Coimbatore, Tamil Nadu",2002,67,"Industrial Equipment, Precision Parts, Machinery Parts",CE Marking,Yes,20,www.minimacsystems.com,info@minimacsystems.com,-4419410071,CIN-U48452MH2001PTC493049,89,78,78,61,77.9,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Developing,Yes,No,B-,Medium-High
MSME003,Assam Carbon Products Ltd,Manufacturing,"Hyderabad, Telangana",2018,36,"Machinery Parts, Precision Parts, Tools & Dies","ISO 14001, ISO 9001",Yes,39,https://www.assamcarbon.in/,info@assamcarbonproducts.com,-9035194804,CIN-U91226MH2011PTC352528,91,80,60,69,76.1,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Leading,Planned,Yes,A-,Low
MSME004,Emkay Taps and Cutting Tools Ltd,Manufacturing,"Nagpur, Maharashtra",1997,161,"Precision Parts, Machinery Parts, Industrial Equipment","CE Marking, ISO 14001",No,57,https://emkaytools.com/,info@emkaytapsandcuttingtools.com,-8750839941,CIN-U47700MH2011PTC673149,87,84,85,69,82.1,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Basic,No,Yes,A,Medium
MSME005,Pearl Global Industries Ltd,Manufacturing,"Nashik, Maharashtra",1996,17,"Industrial Equipment, Metal Components","CE Marking, BIS Certification",No,0,www.pearlglobalindustries.com,info@pearlglobalindustries.com,-2297602597,CIN-U60422MH2017PTC606680,93,61,65,59,71.2,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Leading,Planned,No,B+,Low
MSME006,Gokaldas Exports Ltd,Manufacturing,"Bangalore, Karnataka",2001,69,"Machinery Parts, Metal Components","CE Marking, BIS Certification, ISO 14001",No,53,www.gokaldasexports.com,info@gokaldasexports.com,-8122042744,CIN-U45976MH1990PTC693419,89,80,61,58,73.6,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Advanced,Yes,Applied,B+,Medium-High
MSME007,Indo Count Industries Ltd,Manufacturing,"Indore, Madhya Pradesh",2014,16,"Industrial Equipment, Metal Components, Machinery Parts, Precision Parts","CE Marking, ISO 9001, BIS Certification",No,40,https://www.indocount.com/,info@indocountindustries.com,-5464285891,CIN-U67779MH1991PTC707727,68,85,66,67,71.5,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Leading,Planned,No,B,Medium-High
MSME008,Lux Industries Ltd,Manufacturing,"Nagpur, Maharashtra",2001,193,"Machinery Parts, Industrial Equipment, Precision Parts","BIS Certification, ISO 9001",Yes,50,www.luxindustries.com,info@luxindustries.com,-9467483184,CIN-U79579MH2006PTC385765,70,75,77,71,73.2,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Advanced,Planned,No,A,High
MSME009,Kitex Garments Ltd,Manufacturing,"Nagpur, Maharashtra",2008,66,"Tools & Dies, Metal Components","CE Marking, ISO 9001",No,9,www.kitexgarments.com,info@kitexgarments.com,-7688606680,CIN-U21836MH2015PTC513741,67,73,74,51,67.0,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Advanced,No,Yes,A,Medium-High
MSME010,Filatex India Ltd,Manufacturing,"Tirupur, Tamil Nadu",2013,81,"Tools & Dies, Industrial Equipment","CE Marking, BIS Certification",No,0,https://www.filatex.com/,info@filatexindia.com,-9333490148,CIN-U24201MH2011PTC345180,86,69,64,68,72.7,"Digital Manufacturing, Industry 4.0, Export Demand, Government PLI Schemes","Raw Material Costs, Skilled Labor Shortage, Technology Adoption, Competition",Positive,"Automotive, Electronics, Infrastructure, Export",Leading,Yes,Applied,B,Medium-High
